"codigo_ibge";"municipio";"uf_sigla";"porte_populacional";"ano_2020";"media_pos";"perfil_mudanca"
"4320305";"SELBACH";"RS";"Pequeno Porte I";"1,48507816233434e+01";"7,68217969938781e+00";"2. Constantes (Sustentabilidade)"
"4320321";"SENADOR SALGADO FILHO";"RS";"Pequeno Porte I";"4,73198953620950e+01";"6,44441898811819e+01";"1. Despertados (Efeito Indutor)"
"4320354";"SENTINELA DO SUL";"RS";"Pequeno Porte I";"1,14922090834510e+01";"7,92367158303512e+01";"1. Despertados (Efeito Indutor)"
"4320404";"SERAFINA CORREA";"RS";"Pequeno Porte I";"2,74662278552044e+01";"1,74651932067783e+02";"1. Despertados (Efeito Indutor)"
"4320453";"SERIO";"RS";"Pequeno Porte I";"7,30772523373855e-01";"1,98948710175314e-01";"2. Constantes (Sustentabilidade)"
"4320503";"SERTAO";"RS";"Pequeno Porte I";"1,01542059234750e+01";"1,53359770736523e+01";"2. Constantes (Sustentabilidade)"
"4320552";"SERTAO SANTANA";"RS";"Pequeno Porte I";"5,49788454983732e+00";"1,94328408112409e+01";"1. Despertados (Efeito Indutor)"
"4320602";"SEVERIANO DE ALMEIDA";"RS";"Pequeno Porte I";"4,66455925323704e+01";"1,95081526337770e+02";"1. Despertados (Efeito Indutor)"
"4320651";"SILVEIRA MARTINS";"RS";"Pequeno Porte I";"2,36969278440864e+01";"0,00000000000000e+00";"4. Efeito Substituição (Retração Local)"
"4320677";"SINIMBU";"RS";"Pequeno Porte I";"2,06219626293357e+01";"7,13964455944984e+00";"4. Efeito Substituição (Retração Local)"
"4320701";"SOBRADINHO";"RS";"Pequeno Porte I";"3,06780874149019e+01";"3,13960470919114e+01";"2. Constantes (Sustentabilidade)"
"4320800";"SOLEDADE";"RS";"Pequeno Porte II";"2,65661316706827e+01";"2,32514583682298e+01";"2. Constantes (Sustentabilidade)"
"4320859";"TABAI";"RS";"Pequeno Porte I";"0,00000000000000e+00";"2,33133465484682e+00";"2. Constantes (Sustentabilidade)"
"4320909";"TAPEJARA";"RS";"Pequeno Porte II";"7,56099283183825e+01";"8,12429530042116e+01";"2. Constantes (Sustentabilidade)"
"4321006";"TAPERA";"RS";"Pequeno Porte I";"8,02816582359414e+01";"1,12180315257459e+02";"1. Despertados (Efeito Indutor)"
"4321105";"TAPES";"RS";"Pequeno Porte I";"2,61145470994191e+01";"5,69012781600642e+01";"1. Despertados (Efeito Indutor)"
"4321204";"TAQUARA";"RS";"Médio Porte";"2,82069309759972e+01";"7,41390481908037e+01";"1. Despertados (Efeito Indutor)"
"4321303";"TAQUARI";"RS";"Pequeno Porte II";"1,55680538116461e+01";"8,89922086243843e+01";"1. Despertados (Efeito Indutor)"
