"codigo_ibge";"municipio";"uf_sigla";"porte_populacional";"ano_2020";"media_pos";"perfil_mudanca"
"3504206";"AURIFLAMA";"SP";"Pequeno Porte I";"3,150545630694719712";"180,30614812384709467";"1. Despertados (Efeito Indutor)"
"3504305";"AVAI";"SP";"Pequeno Porte I";"21,162920212139365361";"56,11807844579402627";"1. Despertados (Efeito Indutor)"
"3504404";"AVANHANDAVA";"SP";"Pequeno Porte I";"196,675197307659516355";"59,23949107108311551";"4. Efeito Substituição (Retração Local)"
"3504503";"AVARE";"SP";"Médio Porte";"27,156723546070107744";"75,41357869928808100";"1. Despertados (Efeito Indutor)"
"3504602";"BADY BASSITT";"SP";"Pequeno Porte II";"15,324058024611842299";"24,64698087434175022";"1. Despertados (Efeito Indutor)"
"3504701";"BALBINOS";"SP";"Pequeno Porte I";"34,853453933769664275";"44,27853477701476947";"2. Constantes (Sustentabilidade)"
"3504800";"BALSAMO";"SP";"Pequeno Porte I";"20,541433861707535158";"93,31828058187392116";"1. Despertados (Efeito Indutor)"
"3505104";"BARBOSA";"SP";"Pequeno Porte I";"7,313061247005232524";"7,78506513844219850";"2. Constantes (Sustentabilidade)"
"3505203";"BARIRI";"SP";"Pequeno Porte II";"24,533785344253541183";"68,78918241061373351";"1. Despertados (Efeito Indutor)"
"3505302";"BARRA BONITA";"SP";"Pequeno Porte II";"38,501887769721626853";"66,43765866284883259";"1. Despertados (Efeito Indutor)"
"3505351";"BARRA DO CHAPEU";"SP";"Pequeno Porte I";"16,408056115816336273";"87,15191664812167005";"1. Despertados (Efeito Indutor)"
"3505401";"BARRA DO TURVO";"SP";"Pequeno Porte I";"12,295308818694890007";"187,32492748664401461";"1. Despertados (Efeito Indutor)"
