"cod_municipio","municipio","ano","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","equip_biblioteca","equip_museu","equip_teatro","equip_cinema","gestor_sexo","gestor_idade","gestor_cor_raca","gestor_escolaridade","gestor_escolaridade_agrupada","orcamento_perc_executado"
"2514503","São José de Piranhas",2018,"Secretaria em conjunto com outras políticas setoriais","Sim","Não","Não","Não","Não","-","-","-","-","Feminino","42","Branca","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"2514503","São José de Piranhas",2021,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","69","Branca","Especialização","Ensino Médio a Pós-graduação lato sensu","71% a 80%"
"2514552","São José de Princesa",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Não","Não","Não","Não",NA,NA,NA,"Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514552","São José de Princesa",2014,"Não possui estrutura","Não","Não","Não","Não","Não","Sim","Não","Não","Não","-","-",NA,"-","Sem Informação",NA
"2514552","São José de Princesa",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","-","-","-","-","Feminino","35","Parda","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514552","São José de Princesa",2021,"Secretaria exclusiva","Não","Não","Não","Não","Não","Não","Sim","Não","Não","Feminino","57","Parda","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","Mais de 90%"
"2514602","São José do Bonfim",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"2514602","São José do Bonfim",2014,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","30",NA,"Ensino médio completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514602","São José do Bonfim",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","30","Branca","Ensino superior incompleto","Ensino Médio a Pós-graduação lato sensu",NA
"2514602","São José do Bonfim",2021,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","45","Branca","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","81% a 90%"
"2514651","São José do Brejo do Cruz",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Sim","Não","Não",NA,NA,NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"2514651","São José do Brejo do Cruz",2014,"Secretaria em conjunto com outras políticas","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Não","Feminino","29",NA,"Ensino médio completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514651","São José do Brejo do Cruz",2018,"Secretaria exclusiva","Não","Sim","Sim","Sim","Não","Sim","Não","Sim","Não","Feminino","33","Parda","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
